0.000000000000000000e+00 2.947294994201412055e-01
3.300000000000000155e-02 2.947293217678291777e-01
6.700000000000000400e-02 2.947291899870549958e-01
1.000000000000000056e-01 2.947275894537425556e-01
1.330000000000000071e-01 2.946904503799402941e-01
1.670000000000000095e-01 2.944684025058085797e-01
2.000000000000000111e-01 2.938161536817832653e-01
2.330000000000000127e-01 2.924367182982681168e-01
2.670000000000000151e-01 2.899598240906010038e-01
2.999999999999999889e-01 2.862753938577365931e-01
3.330000000000000182e-01 2.810983469276553404e-01
3.669999999999999929e-01 2.739621622395284617e-01
4.000000000000000222e-01 2.650291888630370574e-01
4.329999999999999960e-01 2.538125023923235579e-01
4.670000000000000262e-01 2.394416386148139064e-01
5.000000000000000000e-01 2.221694997562372598e-01
5.330000000000000293e-01 2.007057883989059599e-01
5.669999999999999485e-01 1.724930394963294089e-01
5.999999999999999778e-01 1.355440853910299670e-01
6.330000000000000071e-01 7.635731590663558110e-02
6.670000000000000373e-01 3.881378774231447615e-05
6.999999999999999556e-01 1.453474642204577449e-05
7.329999999999999849e-01 8.327316792677841306e-06
7.670000000000000151e-01 4.073229691203827940e-06
8.000000000000000444e-01 1.663845054566959192e-06
8.329999999999999627e-01 5.712839290517024438e-07
8.669999999999999929e-01 1.650623972226927805e-07
9.000000000000000222e-01 4.057384039857225844e-08
9.330000000000000515e-01 9.465822681242741510e-09
9.669999999999999707e-01 1.703608254466359995e-09
1.000000000000000000e+00 2.999491210964322363e-10
