# # kx/pi  ky/pi  kz/pi  ene_eigen0 ene...
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -1.500000000000000000e+00 1.500000000000000000e+00 -1.500000000000000000e+00 1.500000000000000000e+00
4.000000000000000083e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.497369260174149064e+00 1.497369260174149064e+00 -1.497369260174149064e+00 1.497369260174149064e+00
8.000000000000000167e-02 0.000000000000000000e+00 0.000000000000000000e+00 -1.489490906695516426e+00 1.489490906695516426e+00 -1.489490906695516426e+00 1.489490906695516426e+00
1.200000000000000094e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.476406612653929917e+00 1.476406612653929917e+00 -1.476406612653929917e+00 1.476406612653929917e+00
1.600000000000000033e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.458186092391455579e+00 1.458186092391455579e+00 -1.458186092391455579e+00 1.458186092391455579e+00
2.000000000000000111e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.434927522342138273e+00 1.434927522342138273e+00 -1.434927522342138273e+00 1.434927522342138273e+00
2.400000000000000189e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.406758197922234110e+00 1.406758197922234110e+00 -1.406758197922234110e+00 1.406758197922234110e+00
2.800000000000000266e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.373835503162110561e+00 1.373835503162110561e+00 -1.373835503162110561e+00 1.373835503162110561e+00
3.200000000000000067e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.336348306011197140e+00 1.336348306011197140e+00 -1.336348306011197140e+00 1.336348306011197140e+00
3.599999999999999867e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.294518942142243167e+00 1.294518942142243167e+00 -1.294518942142243167e+00 1.294518942142243167e+00
4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.248606020478416401e+00 1.248606020478416401e+00 -1.248606020478416401e+00 1.248606020478416401e+00
4.400000000000000577e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.198908384567279883e+00 1.198908384567279883e+00 -1.198908384567279883e+00 1.198908384567279883e+00
4.800000000000000377e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.145770709840897128e+00 1.145770709840897128e+00 -1.145770709840897128e+00 1.145770709840897128e+00
5.200000000000000178e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.089591428229263581e+00 1.089591428229263581e+00 -1.089591428229263581e+00 1.089591428229263581e+00
5.600000000000000533e-01 0.000000000000000000e+00 0.000000000000000000e+00 -1.030833975679049441e+00 1.030833975679049441e+00 -1.030833975679049441e+00 1.030833975679049441e+00
6.000000000000000888e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.700427854610601530e-01 9.700427854610601530e-01 -9.700427854610601530e-01 9.700427854610601530e-01
6.400000000000000133e-01 0.000000000000000000e+00 0.000000000000000000e+00 -9.078660189889956600e-01 9.078660189889956600e-01 -9.078660189889956600e-01 9.078660189889956600e-01
6.800000000000001599e-01 0.000000000000000000e+00 0.000000000000000000e+00 -8.450876907286031248e-01 8.450876907286031248e-01 -8.450876907286031248e-01 8.450876907286031248e-01
7.199999999999999734e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.826723517866912561e-01 7.826723517866912561e-01 -7.826723517866912561e-01 7.826723517866912561e-01
7.600000000000001199e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.218250290607747255e-01 7.218250290607747255e-01 -7.218250290607747255e-01 7.218250290607747255e-01
8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.640655130520275451e-01 6.640655130520275451e-01 -6.640655130520275451e-01 6.640655130520275451e-01
8.400000000000000799e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.113046048870697247e-01 6.113046048870697247e-01 -6.113046048870697247e-01 6.113046048870697247e-01
8.800000000000001155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.658829508933349572e-01 5.658829508933349572e-01 -5.658829508933349572e-01 5.658829508933349572e-01
9.200000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.304873597658750217e-01 5.304873597658750217e-01 -5.304873597658750217e-01 5.304873597658750217e-01
9.600000000000000755e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.078240824198101411e-01 5.078240824198101411e-01 -5.078240824198101411e-01 5.078240824198101411e-01
-1.000000000000000222e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.000000000000000000e-01 5.000000000000000000e-01 -5.000000000000000000e-01 5.000000000000000000e-01
-9.600000000000000755e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.078240824198101411e-01 5.078240824198101411e-01 -5.078240824198101411e-01 5.078240824198101411e-01
-9.200000000000000400e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.304873597658750217e-01 5.304873597658750217e-01 -5.304873597658750217e-01 5.304873597658750217e-01
-8.800000000000001155e-01 0.000000000000000000e+00 0.000000000000000000e+00 -5.658829508933350683e-01 5.658829508933350683e-01 -5.658829508933350683e-01 5.658829508933350683e-01
-8.400000000000000799e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.113046048870698357e-01 6.113046048870698357e-01 -6.113046048870698357e-01 6.113046048870698357e-01
-8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 -6.640655130520275451e-01 6.640655130520275451e-01 -6.640655130520275451e-01 6.640655130520275451e-01
-7.600000000000001199e-01 0.000000000000000000e+00 0.000000000000000000e+00 -7.218250290607748365e-01 7.218250290607748365e-01 -7.218250290607748365e-01 7.218250290607748365e-01
